0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:52 -0500] "GET /GDI/Usuario/RegistroUsuario HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:53 -0500] "GET /GDI/Parcial/FormularioAdministrador HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:54 -0500] "GET /GDI/Usuario/Usuarios HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:56 -0500] "GET /GDI/Usuario/RegistroUsuario HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [03/May/2016:11:01:59 -0500] "GET /GDI/Parcial/FormularioPrincipal HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [03/May/2016:11:19:07 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 200 8425
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 200 8456
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/js/librerias/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/js/librerias/detectMovil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/formValidation/formValidation.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/js/librerias/formValidation/framework/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/js/librerias/formValidation/formValidation.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/js/librerias/jquery-2.2.3.min.js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/fuentes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:11 -0500] "GET /GDI/css/color.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:14 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 200 54416
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:32 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 200 54416
0:0:0:0:0:0:0:1 - - [03/May/2016:11:26:58 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 200 54416
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 200 7498
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/formValidation/formValidation.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/js/librerias/jquery-2.2.3.min.js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/js/librerias/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/js/librerias/detectMovil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/js/librerias/formValidation/formValidation.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/js/librerias/formValidation/framework/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/color.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/fuentes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:04 -0500] "GET /GDI/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:29:11 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css.map HTTP/1.1" 200 54416
192.168.1.127 - - [03/May/2016:11:29:48 -0500] "GET /GDI/ HTTP/1.1" 200 232
192.168.1.127 - - [03/May/2016:11:29:48 -0500] "GET /GDI/Login/validarSession.action HTTP/1.1" 200 1803
192.168.1.127 - - [03/May/2016:11:29:48 -0500] "GET /GDI/css/estilos.css HTTP/1.1" 200 136
192.168.1.127 - - [03/May/2016:11:29:48 -0500] "GET /GDI/css/fuentes.css HTTP/1.1" 200 129
192.168.1.127 - - [03/May/2016:11:29:49 -0500] "GET /GDI/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 200 23409
192.168.1.127 - - [03/May/2016:11:29:49 -0500] "GET /GDI/css/color.css HTTP/1.1" 200 519
192.168.1.127 - - [03/May/2016:11:29:50 -0500] "GET /GDI/css/form.css HTTP/1.1" 200 286
192.168.1.127 - - [03/May/2016:11:29:50 -0500] "GET /GDI/css/header.css HTTP/1.1" 200 2890
192.168.1.127 - - [03/May/2016:11:29:50 -0500] "GET /GDI/css/layout.css HTTP/1.1" 200 585
192.168.1.127 - - [03/May/2016:11:29:51 -0500] "GET /GDI/css/font-awesome/font-awesome.min.css HTTP/1.1" 200 28854
192.168.1.127 - - [03/May/2016:11:29:52 -0500] "GET /GDI/css/animate/animate.css HTTP/1.1" 200 72259
192.168.1.127 - - [03/May/2016:11:29:54 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 121338
192.168.1.127 - - [03/May/2016:11:29:55 -0500] "GET /favicon.ico HTTP/1.1" 404 983
192.168.1.127 - - [03/May/2016:11:29:55 -0500] "GET /GDI/fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
192.168.1.127 - - [03/May/2016:11:30:02 -0500] "GET /GDI/css/formValidation/formValidation.min.css HTTP/1.1" 200 1916
192.168.1.127 - - [03/May/2016:11:30:02 -0500] "GET /GDI/js/librerias/detectMovil.js HTTP/1.1" 200 2217
192.168.1.127 - - [03/May/2016:11:30:02 -0500] "GET /GDI/js/librerias/formValidation/framework/bootstrap.min.js HTTP/1.1" 200 3260
192.168.1.127 - - [03/May/2016:11:30:02 -0500] "POST /GDI/Login/Login HTTP/1.1" 200 8906
192.168.1.127 - - [03/May/2016:11:30:02 -0500] "GET /GDI/js/general.js HTTP/1.1" 200 2631
192.168.1.127 - - [03/May/2016:11:30:06 -0500] "GET /GDI/js/librerias/jquery-2.2.3.min.js.js HTTP/1.1" 200 85661
192.168.1.127 - - [03/May/2016:11:30:09 -0500] "GET /GDI/js/librerias/bootstrap.min.js HTTP/1.1" 200 36868
192.168.1.127 - - [03/May/2016:11:30:10 -0500] "GET /GDI/js/librerias/formValidation/formValidation.min.js HTTP/1.1" 200 119960
192.168.1.127 - - [03/May/2016:11:30:12 -0500] "GET /GDI/fonts/font-awesome/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 200 70728
192.168.1.127 - - [03/May/2016:11:30:16 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 200 7498
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:53 -0500] "GET /GDI/Seguimiento/Seguimiento HTTP/1.1" 200 7498
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:53 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2016:11:30:53 -0500] "GET /GDI/js/librerias/jquery-2.2.3.min.js.js HTTP/1.1" 304 -
