0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/js/librerias/jquery-2.2.3.min.js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/css/fuentes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/css/color.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:13 -0500] "POST /GDI/Parcial/Login HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:13 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/font-awesome/font-awesome.min.css HTTP/1.1" 200 28761
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/js/librerias/jquery-2.2.3.min.js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/js/librerias/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/fuentes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/color.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/fonts/fontawesome-webfont.woff?v=4.6.1 HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:34:14 -0500] "GET /GDI/css/fonts/fontawesome-webfont.ttf?v=4.6.1 HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:36:04 -0500] "POST /GDI/Parcial/Login HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:36:04 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:36:04 -0500] "GET /GDI/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 304 -
